Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
100390,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTION LTD. SELKIRK PAVING,8/14/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Thornton, Kimberley",Nelson, ,Central Kootenay ,Authorizations - South Region,Nelson,  Concrete Batch Plant,"205 Lakeside Drive, Nelson, BC, V1L 6B9",Tony Maida,8351,tony.maida@selkirkpaving.com,49.4925,117.2992,,"PO Box 22, 1056 Playmor Road, Crescent Valley, BC, V0G 1H0"
100391,Code of Practice for Concrete and Concrete Products,PETER KIEWIT SONS CO. ,9/28/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",Surrey,Southern Interior,Squamish-Lillooet,Authorizations - South Region,Lions Bay,  Concrete Batch Plant,Tunnel Point Hwy 99 Station 114 & 700,Peter Kiewit Sons Co.,5419,,49.484192,123.247444,Mot Row Hwy 99,"SUITE 1410 1111 WEST GEORGIA STREET VANCOUVER, BC V6E 4M3"
100392,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTION LTD CHETWYND REDI MIX,8/18/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Thornton, Kimberley",Victoria, ,Peace River ,Authorizations - North Region,Chetwynd,  Ready Mixed Concrete Batch Plant,"4341 45th Ave NE, Chetwynd, BC V0C 1J0, Chetwynd Industrial Park",Shane Surerus ,2111,shane.surerus@chetwyndrm.ca,55.705,121.615,"Lot 9, Plan 24681, District Lot 494 Peace River Land District_x000D_
_x000D_
","PO Box 1240, Chetwynd, BC  V0C 1J0"
100393,Code of Practice for Concrete and Concrete Products,PETER KIEWIT INFRASTRUCTURE CO. ,9/28/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",Surrey,Southern Interior,qathet,Authorizations - South Region,Powell River,  Concrete Batch Plant - temporary use.,Northeast of Toba Inlet,Andrew Allan,6886,,50.667333,123.962433,"LOC # 240249_x000D_
Tenure # 2408571_x000D_
Disposition # 838159","1410-1111 West Georgia Street, Vancouver BC  V6E 4M3"
100394,Code of Practice for Concrete and Concrete Products,PETER KIEWIT SONS CO. ,9/28/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",Surrey,Southern Interior,qathet,Authorizations - South Region,Powell River,  Concrete Batch Plant - Temp Use,Located up from Toba Inlet - Remote location,Peter Kiewit Sons Co,9080,,50.62333,124.1816,Loc # 240249 Tenure # 2408571 Disposition # 838159,"#120 - 10651 SHELLBRIDGE WAY RICHMOND, BC V6X 2W8"
100395,Code of Practice for Concrete and Concrete Products,LIL'WAT CONCRETE AND AGGREGATE LIMITED PARTNERSHIP LIL'WAT CONCRETE AND AGGREGATE,9/28/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",,Southern Interior,Squamish-Lillooet,Authorizations - South Region,Pemberton,  Pre-cast Concrete facility,14 Kilometres north of Whistler on Highway 99,Lil'wat Concrete and Aggregate Limited Partnership,0210,,50.2689,122.871,DL 1549 Lilloet District,"1410-1111 W Georgia Street, Vancouver BC  V6E 4M3"
100396,Code of Practice for Concrete and Concrete Products,WEST K CONCRETE LTD ,9/28/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"McCandlish, Brad",Nelson,Southern Interior,,Authorizations - South Region,Castlegar,  Concrete Batch Plant,"300 Pipeline Pit Road, Genelle BC  V0G 1G0",Justin,2430,westkconcrete@xplornet.com,49.2257,117.6843,Lot A PL 11926 DL 7163 Except PL 14528 NEP 19742,"BOX 3068 CASTLEGAR, BC V1N 3H4"
100397,Code of Practice for Concrete and Concrete Products,PETER KIEWIT SONS CO. ,9/28/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Harrison Hot Springs,  Concrete batch plant,North Eastern end of Harrison Lake,Pierre Garneau,4792,PA.Garneau@Kiewit.com,49.71094,122.0353,See crown land file below,"Cloudworks Hydro Project  #20-7234, PO Box 2568, Squamish BC  V8B 0B7"
100398,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,0803589 B.C. LTD. EMPIRE ABBOTSFORD RECYCLED AUTO PARTS,8/15/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,562920  Waste Treatment - Material Recovery Facilities,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Stewart, Allison",Victoria,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Automotive recycler  automotive recycler,"1210 Sumas Way, Abbotsford BC  V2S 8H2",Sam Young,8856,sam@empireabbotsford.com,49.024598,122.264221,Sec 11 Twp 16 Pl 3831 NWD; Lt C Sec 11 Twp 16 Pl 21905 NWD,"1210 Sumas Way, Abbotsford BC  V2S 8H2"
100399,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,RALPH'S AUTO SUPPLY (B.C.) LTD. RALPH'S A-VAN AUTO WRECKING,8/15/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Cavadini, Roger",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Automotive recycler  Automotive recycler,"13151 Mitchell Road, Richmond  BC  V6V 1M7",Sam Young,4555,avan@ralphsauto.com,49.205232,123.081009,15 Sec Blkn RGW Pl 2806; Sec Blkn RGW Pl 2806; Part of Highway right-of-way Plan 43051 District Lot 527 New Westminster District,"12011 Mitchell Road, Richmond BC  V6V 1M7"
100400,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PNP AUTO PARTS CANADA CO. RALPH'S PICK-N-PULL,8/15/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Farrell, Gwenn",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Automotive Dismantler/Wrecker  Automobile Dismantler/Recycler,"12011 Mitchell Road, Richmond BC  V6V 1M7",Howard Henderson,8323,hhenderson@picknpull.com,49.20405,123.09126,"Lot 1, District Lot 527, Group 1, New Westminster District, Plan LMP 35795","c/o Davis Corporate Solutions Inc., 2800 Park Place, 666 Burrard St., Vancouver BC  V6C 2Z7"
100401,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PNP AUTO PARTS CANADA CO. RALPH'S PICK-N-PULL,8/15/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Farrell, Gwenn",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,Automotive Dismantler/Recycler  Automotive Dismantler/Recycler,"13151 Mitchell Road, Richmond BC  V6V 1M7",Samuel Young,4555,syoung@picknpull.com,49.20569,123.07426,"Parcel A (reference Plan 9723), Lot 15, District Lot 527, group 1, Plan 2806","c/o Davis Corporate Solutions Inc., 2800 Park Place, 666 Burrard St., Vancouver BC  V6C 2Z7"
100402,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PNP AUTO PARTS CANADA CO. RALPH'S PICK-N-PULL,8/15/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Farrell, Gwenn",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,Automobile Dismanter/Wrecker  Automobile Dismantler/Recycler,"10535 120th  Street, Surrey BC  V3V 4G5",Kenton Smith,5479,ksmith@picknpull.com,49.19349,122.88952,"Lot 1, except part in Stautory right of way plan LMP 22752 District Lot  7 and 8 Group 2, Section 19, Block 5 North, Range 2 West, Plan 69945","c/o Davis Corporate Solutions Inc., 2800 Park Place, 666 Burrard St., Vancouver BC  V6C 2Z7"
100403,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PNP AUTO PARTS CANADA CO. RALPH'S PICK-N-PULL,8/15/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Farrell, Gwenn",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,Automotive Dismantler/Wrecker.  Sale of used automobile and used automobile parts.  Automotive Dismantler/Wrecker.  Sale of used automobile and used automobile parts.,"10731 120th Street, Surrey BC  V3V 4G5",Royce Smith,5477,rsmith1@picknpull.com,49.19729,122.88576,"Lot 31, except part on SRW Plan LMP 20326 District Lot 4, Group 2 and of Sect. 19, Block 5 North, Range 5 West, Plan 22484","c/o Davis Corporate Solutions Inc., 2800 Park Place, 666 Burrard St., Vancouver BC  V6C 2Z7"
100404,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTIONS LTD. SKANDIA CONCRETE,9/10/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Corapi, Joseph",Surrey, ,East Kootenay ,Authorizations - South Region,Invermere,  Ready-Mix Plant,"1756 BC-93, Invermere BC V0A 1K0",Corey Rokosh,2111,corey rokosh@valleyblacktop.ca,50.4658,115.9706,,"1756 HWY 93/95, Windermere BC V0B 2L2"
100405,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTION LTD. SELKIRK PAVING,10/2/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Corapi, Joseph",Nelson, ,Kootenay Boundary,Authorizations - South Region,Castlegar,  Concrete Batch Plant,"1 Pipeline Pit Road, Castlegar, BC",Terus Construction Ltd.,8351,tmaida@selkirkpaving.com,49.2265,117.6792,See below,"PO Box 22, 1056 Playmor Road, Crescent Valley, BC, V0G 1H0"
100406,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTION LTD. SELKIRK PAVING,10/2/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Thornton, Kimberley",Nelson, ,Central Kootenay ,Authorizations - South Region,Castlegar,  Concrete Batch Plant,"4000 Columbia Avenue, Castlegar BC  V1N 4E7",Tony Maida,8351,tony.maida@selkirkpaving.com,49.2598,117.6564,"_x000D_
","PO Box 22, 1056 Playmor Road, Crescent Valley, BC, V0G 1H0"
100407,Code of Practice for Concrete and Concrete Products,TERUS CONSTRUCTION LTD. SONIC CONCRETE & AGGREGATE,10/2/2008,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Corapi, Joseph",Prince George, ,Fraser-Fort George,Authorizations - North Region,Mackenzie,  Concrete Batch Plant,"700 Mill Road, Mackenzie, BC V0J 2C0",Terus Construction Ltd.,3261,troy.wilson@terusconstruction.ca,55.14444,123.1305,"Lot A DL 12479 Plan 28293_x000D_
Cariboo Land District","PO Box 1, 700 Mills Road, Mackenzie, BC  V0J 2C0"
100408,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,ACE GERMAN USED PARTS LTD. ,8/18/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Burnaby,Automotive Recycler  Automotive Recycler,"6077 Trapp Road, Burnaby BC  V3N 2V3",Aviad Cohen,0806,,49.194245,122.961313,Lot 14 Block 11 D/L 173 Plan 1034,"6077 TRAPP AVENUE, BURNABY BC V3N 2V3"
100409,Code of Practice for Concrete and Concrete Products,PETER KIEWIT SONS CO. ,10/2/2008,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,N/A,,"Chor, Alan",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Mission,  Concrete Batch Plant,Stave Camp - approximately 23 km from Stave Lake on Stave FSR,Swantje Voelker,5658,Swantje.Voelker@Kiewit.com,49.56777,122.3483,See Crown Land File # below,"Stave Site, c/o Verrault Lowbed Service Ltd., 29170 Fraser Hwy, Abbotsford BC  V4X 1G8"
100410,Code of Practice for Soil Amendments,MINISTRY OF AGRICULTURE AND LANDS ,9/8/2008,9/26/2013,,Expired,322110  Forest Sector - Pulp Mills,562910  Waste Treatment - Remediation,L,,N/A,,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,  ,"Km 1 Wildhorse Creek Rd, Ymir BC",Ministry of Agriculture and Lands,1528,,49.28819,117.22167,28 Legal Lots (See Table A within cover letter),"Crown Contaminated Sites Branch, PO Box 9361, Stn. Prov. Govt., Victoria, BC  V8W 9M2"
100411,Code of Practice for Soil Amendments,QUESNEL RIVER PULP COMPANY ,9/17/2008,12/9/2011,,Expired,322110  Forest Sector - Pulp Mills,562910  Waste Treatment - Remediation,L,,N/A,,"Bings, Daniel",Williams Lake,Southern Interior,Cariboo,Authorizations - South Region,Williams Lake,  Mechanical Pulp Mill sludge used as soil conditioner,"DL 3928, DL 3520, DL 1611 Lot A",Same as Owner,3935,,52.85956,122.4596,"DL 3928_x000D_
DL 3520_x000D_
DL 1611 Lot A","1000 FINNING ROAD QUESNEL, BC V2J 6A1"
100412,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,A.B.C. RECYCLING LTD. ABC METALS,8/19/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,scrap metal recycling  scrap metal recycling,"19355 54th Ave, Surrey, BC  V3S 8E5",Anthony Dizy,9411,anthony@abcmetals.ca,49.101618,122.686174,"LOT 2, SECTION 3, TOWNSHIP 8, NEW WESTMINSTER DISTRICT, PLAN LMP 6573","19355 54 th  Avenue, Surrey BC  V3S 8E5"
100413,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SCHNITZER STEEL CANADA LTD. ,8/19/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Holms, Bruce",Victoria, ,Metro Vancouver,Authorizations - South Region,Surrey,Scrap metal recycling facility  Scrap Metal Recycling Facility,"12301 Musqueam Drive, Surrey BC  V3V 3T2",Brian Ross,0251,bross@amix.ca  or bross@schn.com,49.21115,122.8826,"Plan 5344, Section 7, Range 2, New Westminster Land District, SE OF PCL K; GAS MAIN & GAS SERVICE THROUGH FRHC PROPERTY, Lease/Permit/Licence # SUR330-04700F-001","12301 Musqueam  Drive, Surrey BC  V3V 3T2"
100414,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Holden Redman - DBA HAROLDS AUTO RECYCLING HAROLDS AUTO RECYCLING,8/19/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Squamish-Lillooet,Authorizations - South Region,Squamish,Auto Wrecker  ,"2021 Paco Road, Squamish BC  V8B0J6",Holden Redman,5811,haroldsautorecycling@telus.net,49.73433,123.1083,N/A,"PO Box 801 , Garibaldi Highlands BC V0N 1T0"
100415,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,M A AUTO ENTERPRISES ,8/19/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,Wrecking/ Dismantling of cars / trucks  Wrecking/ Dismantling of cars / trucks,"#101  44195 Yale rd  , Chilliwack BC",M A Auto Enterprises,5055,,49.145503,122.001565,Tilt up building and Enclosed Concrete floor Tent,"Unit # 101 44195 Yale Rd , Chilliwack BC  V2R 4H2"
100416,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,100 MILE NEW AND USED AUTO PARTS LTD. AUTO RECYCLING,8/19/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Lamb-Yorski, Matthew",Williams Lake,Northern,Cariboo,Authorizations - North Region,100 Mile House,Auto Recycling  ,742 Sollows Cres,100 Mile New and Used Auto Parts Ltd.,1141,http://100mileautoparts.com/contact-us,51.65169,121.31715,Lot 11 Plan KAP57885 Dist Lot 4181 Lillooet Dist,"PO BOX 1188, 100 Mile House BC  V0K 2E0"
100417,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,REBEL AUTO SALES & SERVICE LTD. ,8/20/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Barlas, Sajid",,Southern Interior,,Authorizations - South Region,Kamloops,"VEHICLE SALES, RECYCLED AUTO PART SALES, RECYCLING OF AUTO SCRAP.  VEHICLE SALES, RECYCLED AUTO PART SALES, RECYCLING OF AUTO SCRAP.","663 WEST SARCEE STREET, KAMLOOPS, BC",REBEL AUTO SALES & SERVICE LTD,2006,,50.6847,120.3246,Requested from client,"663 WEST SARCEE STREET, KAMLOOPS, BC V2H 1E4"
100418,Code of Practice for Slaughter and Poultry Processing,INLAND PACKERS LTD. ,8/20/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,N/A,,"Vergamini, Don",,Southern Interior,,Authorizations - South Region,Salmon Arm,  ,"4141 54th St SE, Salmon Arm BC",Inland Packers Ltd.,5073,,50.6711,119.22504,"Parcel B (Kx74518) Plan KAP68151 Section 5, Township 20, Range 9, W6M, KDYD","PO Box 104, Salmon Arm BC  V1E 4N2"
100419,Oil & Gas Waste Regulation (Well Test),PROEX ENERGY LTD. ,8/20/2008,,Air,Cancelled,211100  Oil & Gas - Extraction,211110  Oil & Gas - Processing Plants,L,,N/A,,"Hickman, Crystal (Kris)",Fort St. John (OGC),Oil & Gas/LNG Operations,,Oil & Gas Commission,Fort St. John,  ProEx Caribou c-A96-G/94-G-7 Well Test,c-A96-G/94-G-7 Caribou,ProEx Energy,,0,57.43075,122.695717,c-A96-G/94-G-7 ,"BOW VALLEY 2 1200, 205-5TH AVE SW CALGARY, AB T2P 4B9"
100420,Hazardous Waste Regulation,MINISTRY OF AGRICULTURE AND LANDS ,8/21/2008,,Hazardous Waste,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"O`Grady, Tyler",,Southern Interior,,Authorizations - South Region,Surrey,  ,See lat & long,Unknown,,,49.60722,123.5491,See lat & long,"PO BOX 9120  Stn Prov Govt, Victoria BC  V8W 9E2"
100421,Code of Practice for Slaughter and Poultry Processing,RODEAR MEATS LTD. ,8/21/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Lamb-Yorski, Matthew",Williams Lake,Northern,Cariboo,Authorizations - North Region,Williams Lake,  RED MEAT SLAUGHTERING,"3736 Beaver Valley Road, Big Lake BC  V0L 1G0",David Fernie,2340,rodear@xplornet.com,52.41427,121.7255,See PID,"PO Box 15, Big Lake BC  V0L 1G0"
100422,Code of Practice for Slaughter and Poultry Processing,VAN DIEMEN TURKEY FARM LTD. ,8/21/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,N/A,,"Cavadini, Roger",Penticton,Southern Interior,,Authorizations - South Region,Keremeos,  ,"3078 10th Ave, Keremeos BC",Fred & Susan Babyn,5890,,49.2033,119.8465,Lot 18 Plan 589 Dist Lot 277 Similkameen Div of Yale Land District,"3068 10th Ave, Keremeos BC  V0X 1N0"
100423,Code of Practice for Slaughter and Poultry Processing,Robert Johnston - DBA JOHNSTON'S MEATS JOHNSTON'S MEATS,8/21/2008,,Effluent,Active,311000  Food  - Manufacturing/Processing,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Barlas, Sajid",Penticton,Southern Interior,,Authorizations - South Region,Oliver,  SLAUGHTER LIVESTOCK (RED MEAT),"34273 91st , Oliver BC",Robert Johnston,2903,,49.17398,119.541,Lot A Plan 21469 District Lot 24505 Similkameon Driv of Yale Land District Portion L110D,"PO BOX 572, Oliver BC  V0H 1T0"
100424,Code of Practice for Slaughter and Poultry Processing,Karl Rainer - DBA RAINER CUSTOM CUTTING RAINER CUSTOM CUTTING,8/21/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Kamloops,  SLAUGHTER LIVESTOCK (RED MEAT),District Lot 80 KDYD,Karl Rainer,9407,,51.32098,120.183689,District Lot 80 KDYD,"GD, Darfield BC  V0E 1R0"
100424,Code of Practice for Slaughter and Poultry Processing,Karl Rainer - DBA RAINER CUSTOM CUTTING RAINER CUSTOM CUTTING,8/21/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Kamloops,  SLAUGHTER LIVESTOCK (RED MEAT),District Lot 80 KDYD,Karl Rainer,9407,,51.32098,120.183689,District Lot 80 KDYD,"GD, Darfield BC  V0E 1R0"
100425,Code of Practice for Slaughter and Poultry Processing,Eric Boulton - DBA SOMERSET FARM SOMERSET FARM,8/21/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Victoria,  ,"2585 North Road, Gabriola BC  V0R 1X7",Eric Boulton,9202,s_boulton@shaw.ca,49.153202,123.734922,Plan 2284 Lot B & Lot C,"2585 North Road, Gabriola BC  V0R 1X7"
100425,Code of Practice for Slaughter and Poultry Processing,Eric Boulton - DBA SOMERSET FARM SOMERSET FARM,8/21/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Victoria,  ,"2585 North Road, Gabriola BC  V0R 1X7",Eric Boulton,9202,s_boulton@shaw.ca,49.153202,123.734922,Plan 2284 Lot B & Lot C,"2585 North Road, Gabriola BC  V0R 1X7"
100427,Code of Practice for Slaughter and Poultry Processing,Jacques Campbell - DBA CAMPBELL FARM CAMPBELL FARM,8/22/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,Capital,Authorizations - South Region,Victoria,  Animal Slaughter (except poultry) and Meat processing from carcass (except poultry),"102 Quarry Road, Saturna BC  V0N 2Y0",Jacques Campbell,2470,,48.771611,123.181149,"PID 005-656-851_x000D_
925 - PIN0000169733","102 Quarry Road, PO Box 9, Saturna Island BC  V0N 2Y0"
100427,Code of Practice for Slaughter and Poultry Processing,Jacques Campbell - DBA CAMPBELL FARM CAMPBELL FARM,8/22/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,Capital,Authorizations - South Region,Victoria,  Animal Slaughter (except poultry) and Meat processing from carcass (except poultry),"102 Quarry Road, Saturna BC  V0N 2Y0",Jacques Campbell,2470,,48.771611,123.181149,"PID 005-656-851_x000D_
925 - PIN0000169733","102 Quarry Road, PO Box 9, Saturna Island BC  V0N 2Y0"
100428,Code of Practice for Slaughter and Poultry Processing,FARMCREST FOODS LTD. ,8/22/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Danyluk, Carol",Kamloops,Southern Interior,,Authorizations - South Region,Salmon Arm,  Slaughtering and/or processing poultry,"1880 30th Street SW, Salmon Arm BC  V1E 3J9",Farmcrest Foods Ltd.,0036,farmcrest@jetstream.net,50.686,119.318,"PID 012-300-811_x000D_
Roll# 322-02178000","1880 30th Street SW, Salmon Arm BC  V1E 3J9"
100429,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,WESTERN AUTO WRECKERS (1974) LTD. ,8/22/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Stewart, Allison",Nelson,Southern Interior,Central Kootenay ,Authorizations - South Region,Nelson,Automotive Recycler  Automotive recycling facility,"2374 Granite Road, Nelson BC  V1L 6T9",Western Auto Wreckers (1974) Ltd.,4802,,49.4906,117.3546,"Lot A/B Plan 2964 _x000D_
District Lot 5665 _x000D_
Kootenay Land District","2374 Granite Road, Nelson BC  V1L 6T9"
100430,Code of Practice for Slaughter and Poultry Processing,KOUR HOLDINGS CORPORATION MEDALLION MEATS CORPORATION,8/22/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,N/A,,"Vergamini, Don",,Southern Interior,,Authorizations - South Region,Kamloops,  ,"6478 Kamloops Vernon Hwy, Westwold BC",Kour Holdings Corporation,2588,,50.3622,119.7684,See PID,"PO Box 69, Falkland BC  V0E 3B0"
100431,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,"Patricia L. and Robert D. Forsyth, dba Autobahn Dismantlers - DBA  ",8/22/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Langley,Automotive Recycler  Automotice recycler,"103-5763 198th Street, Langley BC  V3A 1G5",Paul Forsyth,7939,,49.107183,122.674348,Lot C - DL310 GP2 NWD Plan LMP 20032,"103-5763 198 Street, Langley BC  V3A 1G5"
100432,Code of Practice for Slaughter and Poultry Processing,ALS FEATHERS BE GONE ,8/22/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Port Alberni,  ,"6795 Swanson Road W, Port Alberni BC  V9Y 8L7",Alistair D. Harley,8307,,49.29672,124.8635,"Lot 2 DL 162 Alberni District_x000D_
Plan 1502 Except Plan 1094 RW_x000D_
Harley 6795 Grigg Rd (6795 Swanson Rd)","6795 Swanson Road W, Port Alberni BC  V9Y 8L7"
