Job Type,Tracking Number,Authorization Number,Job Status,SAP Phase,Received Date,Created Date,Completed Date,Authorization Type,Administrative Area,Amendment Type,Latitude,Longitude,Application Type,Transaction Type,Complexity,Intake,Preliminary Application,Applicant Work Window,In Screening,Review and Decision,Processing,Days in Process,Withdrawn Date
Registration Amendment,377900,105885,Completed,,2018-12-12,2018-12-12 15:24,2018-12-12 15:28,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.40815,122.33826,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377914,105929,Completed,,2018-12-13,2018-12-13 8:16,2018-12-13 8:19,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.234592,121.897825,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377916,106037,Completed,,2018-12-13,2018-12-13 8:21,2018-12-13 8:25,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.2132,121.9937,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377917,106044,Completed,,2018-12-13,2018-12-13 8:26,2018-12-13 8:30,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.98,122.25,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377918,106267,Completed,,2018-12-08,2018-12-13 8:27,2019-01-08 9:11,Code of Practice for Slaughter and Poultry Processing,Express Transactions,Minor,50.48333,119.5333,,Express,Simple,5.4,,,,,26,31,
Registration Amendment,377919,106450,Completed,,2018-12-13,2018-12-13 8:34,2018-12-13 8:38,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.139499,122.088219,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377920,106485,Completed,,2018-12-13,2018-12-13 8:40,2018-12-13 8:43,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.256,122.436,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377921,106493,Completed,,2018-12-13,2018-12-13 8:45,2018-12-13 8:48,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.175,122.337,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377922,106495,Completed,,2018-12-13,2018-12-13 8:50,2018-12-13 8:54,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.587,122.697,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377923,106497,Completed,,2018-12-13,2018-12-13 8:56,2018-12-13 9:00,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.571,121.797,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377925,106499,Completed,,2018-12-13,2018-12-13 9:02,2018-12-13 9:08,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.401,122.701,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377926,106599,Completed,,2018-12-13,2018-12-13 9:14,2018-12-13 9:19,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.4,122.7,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377927,106918,Completed,,2018-12-13,2018-12-13 9:22,2018-12-13 9:27,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.142,122.353,Name Change,EM General,Simple,,,,,,,0,
New Registration,377929,109762,Completed,,2018-12-04,2018-12-13 9:30,2018-12-17 15:53,Land-Based Finfish Waste Control Regulation,Express Transactions,,49.6851,126.1238,,Express,Simple,9.4,,,,,1,10,
Registration Amendment,377930,106967,Completed,,2018-12-13,2018-12-13 9:34,2018-12-13 9:38,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.388,121,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377931,107137,Completed,,2018-12-13,2018-12-13 9:48,2018-12-13 9:56,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.5322,122.8536,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377933,107187,Completed,,2018-12-13,2018-12-13 9:58,2018-12-13 10:02,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.839583,122.040625,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377934,107245,Completed,,2018-12-13,2018-12-13 10:04,2018-12-13 10:07,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.801,122.108,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377935,107300,Completed,,2018-12-13,2018-12-13 10:09,2018-12-13 10:14,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.21875,122.053125,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377936,108025,Completed,,2018-12-13,2018-12-13 10:15,2018-12-13 10:18,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.235417,122.696875,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377937,108038,Completed,,2018-12-13,2018-12-13 10:20,2018-12-13 10:23,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.23205,121.95266,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377938,108101,Completed,,2018-12-13,2018-12-13 10:25,2018-12-13 10:28,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.244661,122.72317,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377939,15384,Completed,,2018-12-13,2018-12-13 10:29,2018-12-13 10:33,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.691917,121.858583,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377941,15385,Completed,,2018-12-13,2018-12-13 10:35,2018-12-13 10:39,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.15,120.5,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377942,15387,Completed,,2018-12-13,2018-12-13 10:42,2018-12-13 10:46,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.69097,121.86674,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377943,15422,Completed,,2018-12-13,2018-12-13 10:48,2018-12-13 10:52,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.311,122.323,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377944,17516,Completed,,2018-12-13,2018-12-13 10:54,2018-12-13 10:58,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.313891,122.109556,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377948,105724,Completed,,2018-12-13,2018-12-13 14:16,2018-12-13 14:19,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.740285,122.197434,Name Change,EM General,Simple,,,,,,,0,
Registration Amendment,377950,106623,Completed,,2018-12-13,2018-12-13 14:22,2018-12-13 14:25,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.119,122.291,Name Change,EM General,Simple,,,,,,,0,
Authorization Amendment,377951,104958,Approved,,2018-12-13,2018-12-13 14:47,2019-05-27 15:17,Permit,Oil & Gas Commission,Minor,56.2366,122.0971,Name Change,EM General,Simple,,,,,,,161,
New Registration,377952,109764,Completed,,2018-12-05,2018-12-13 15:15,2018-12-19 9:37,Code of Practice for Agricultural Environmental Management - Boiler and Heater,Express Transactions,,49.09002,122.9351,,Express,Simple,8.6,,,,,4.8,13,
Authorization Amendment,378024,105837,Approved,,2018-12-17,2018-12-17 10:45,2019-05-27 15:08,Permit,Oil & Gas Commission,Minor,56,122,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378025,106224,Approved,,2018-12-17,2018-12-17 10:55,2019-05-27 15:11,Permit,Oil & Gas Commission,Minor,57.11,122.43,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378027,106274,Approved,,2018-12-17,2018-12-17 11:02,2019-05-27 15:02,Permit,Oil & Gas Commission,Minor,54.42,122.21,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378028,106546,Approved,,2018-12-17,2018-12-17 11:22,2019-05-27 14:56,Permit,Oil & Gas Commission,Minor,56.965,122.226,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378032,106911,Approved,,2018-12-17,2018-12-17 11:39,2019-05-27 14:58,Permit,Oil & Gas Commission,Minor,57.03237,122.30116,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378033,106934,Approved,,2018-12-17,2018-12-17 11:46,2019-05-27 14:50,Permit,Oil & Gas Commission,Minor,56.77503,122.14733,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378034,106981,Approved,,2018-12-17,2018-12-17 11:52,2019-05-27 14:37,Permit,Oil & Gas Commission,Minor,57.18636,122.73006,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378035,107020,Approved,,2018-12-17,2018-12-17 11:58,2019-05-27 14:40,Permit,Oil & Gas Commission,Minor,57.05331,122.3718,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378036,107063,Approved,,2018-12-17,2018-12-17 12:05,2019-05-27 14:32,Permit,Oil & Gas Commission,Minor,57.3476,122.82383,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378037,107078,Approved,,2018-12-17,2018-12-17 12:13,2019-05-27 14:29,Permit,Oil & Gas Commission,Minor,57.44353,122.8675,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378038,107090,Approved,,2018-12-17,2018-12-17 12:20,2019-05-27 15:05,Permit,Oil & Gas Commission,Minor,57.17011,122.55483,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378039,107124,Approved,,2018-12-17,2018-12-17 13:33,2019-05-27 14:26,Permit,Oil & Gas Commission,Minor,57.34375,122.60931,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378040,107125,Approved,,2018-12-17,2018-12-17 13:41,2019-05-27 15:20,Permit,Express Transactions,Minor,57.53228,122.85356,Name Change,EM General,Simple,,,,,,,157,
Authorization Amendment,378042,107185,Approved,,2018-12-17,2018-12-17 13:48,2019-06-03 10:47,Permit,Oil & Gas Commission,Minor,57.11042,122.39689,Name Change,EM General,Simple,,,,,,,168,
Authorization Amendment,378043,107368,Approved,,2018-12-17,2018-12-17 13:54,2019-05-27 14:20,Permit,Oil & Gas Commission,Minor,57.3415,122.81378,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378044,107440,Approved,,2018-12-17,2018-12-17 14:01,2019-05-27 14:23,Permit,Oil & Gas Commission,Minor,57.29019,122.43042,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378045,107510,Approved,,2018-12-17,2018-12-17 14:09,2019-05-27 14:16,Permit,Oil & Gas Commission,Minor,57.281638,122.764305,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378046,107639,Approved,,2018-12-17,2018-12-17 14:17,2019-05-27 14:11,Permit,Oil & Gas Commission,Minor,56.91983,122.09972,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378047,4397,Approved,,2018-12-17,2018-12-17 14:27,2018-12-19 10:01,Permit,Express Transactions,Minor,49.477056,123.354722,Internal Amendment,EM General,Medium,,,,,,,1,
Authorization Amendment,378048,107866,Approved,,2018-12-17,2018-12-17 14:29,2019-05-27 14:08,Permit,Oil & Gas Commission,Minor,57.11891,122.69306,Name Change,EM General,Simple,,,,,,,160,
Authorization Amendment,378049,107981,Approved,,2018-12-17,2018-12-17 14:35,2019-05-27 14:05,Permit,Oil & Gas Commission,Minor,56.39925,122.33628,Name Change,EM General,Simple,,,,,,,160,
De-Registration,378058,100369,Completed,,2018-12-18 8:45,2018-12-18 8:45,2019-02-08 7:41,Code of Practice for Concrete and Concrete Products,Express Transactions,,,,,Express,Simple,0,,,,,16.1,52,
Registration Amendment,378071,8838,Completed,,2018-12-03,2018-12-18 15:26,2019-04-29 11:45,Municipal Wastewater Regulation,Authorizations - South Region,Minor,50.585052,126.764063,Name Change,EM General,Medium,,,,,,,142,
Registration Amendment,378090,8838,Completed,,2018-12-03,2018-12-19 10:35,2019-05-23 11:35,Municipal Wastewater Regulation,Authorizations - South Region,Minor,50.585052,126.764063,Transfer,EM General,Medium,,,,,,,170,
New Registration,378121,109777,Completed,,2018-12-19,2018-12-20 13:08,2019-01-14 9:29,Organic Matter Recycling Regulation,Authorizations - South Region,,51.3053,121.9854,,Express,Medium,20,19,,,5.8,,21,
New Registration,378138,109778,Pending Final Application,Applicant Work Window,2018-05-25,2018-12-21 8:12,,Municipal Wastewater Regulation,Authorizations - South Region,,48.6866,123.5985,,Routine,Medium,210.4,18.2,846,,,,1074.6,
Registration Amendment,378143,100170,Completed,,2018-11-01,2018-12-21 13:40,2019-07-05 13:46,Hazardous Waste Regulation,Authorizations - South Region,Minor,49.254278,124.803917,Transfer,EM General,Medium,,,,,,,237,
New Authorization,378172,109780,Approved,,2018-12-10,2018-12-24 8:14,2019-09-23 11:01,Approval,Authorizations - North Region,,54.0153,128.7063,,Routine,Medium,14,65.1,62.2,9.1,63.9,,214,
New Registration,378175,109781,Completed,,2018-12-12,2018-12-24 13:42,2019-01-14 9:36,Code of Practice for Agricultural Environmental Management - Boiler and Heater,Express Transactions,,49.006798,122.495444,,Express,Simple,12.6,,,,,16,28,
Authorization Amendment,378443,3140,Approved,,2018-12-18,2019-01-03 10:42,2019-03-12 10:03,Permit,Express Transactions,Minor,48.824518,125.137312,Transfer,EM General,Simple,,,,,,,79,
Authorization Amendment,378444,4429,Approved,,2018-12-18,2019-01-03 11:08,2019-03-12 8:47,Permit,Express Transactions,Minor,48.825769,125.137311,Transfer,EM General,Simple,,,,,,,79,
New Registration,378446,109782,Completed,,2019-01-02,2019-01-03 12:51,2019-01-14 15:14,Code of Practice for Slaughter and Poultry Processing,Express Transactions,,49.0297,122.7357,,Express,Simple,1.5,,,,,10.9,12,
New Registration,378447,109783,Pending Final Application,Applicant Work Window,2018-12-10,2019-01-03 14:36,,Municipal Wastewater Regulation,Authorizations - South Region,,48.5518,124.4241,,Routine,Medium,24.6,111,740,,,,875.6,
New Registration,378465,109784,Pending Final Application,Applicant Work Window,2018-12-14,2019-01-04 8:17,,Municipal Wastewater Regulation,Authorizations - South Region,,51.4056,127.6558,,Routine,Medium,21.4,179.2,671,,,,871.6,
Authorization Amendment,378470,3678,Approved,,2018-12-11,2019-01-04 10:46,2020-04-20 9:53,Permit,Authorizations - North Region,Major,49.288103,122.954779,,Routine,Medium,24,110.1,168.1,0,189.9,,492,
New Registration,378474,109785,Completed,,2018-12-19,2019-01-04 14:49,2019-01-14 10:02,Organic Matter Recycling Regulation,Authorizations - South Region,,49.0256,122.4058,,Express,Medium,20,3.9,,,5.9,,22,
De-Registration,378476,18182,Rejected,,2019-01-04 16:05,2019-01-04 16:05,2019-05-10 9:53,Municipal Wastewater Regulation,Authorizations - North Region,,,,,Express,Simple,0,,,,,124.8,124.3,
New Authorization,378552,109786,Approved,,2019-01-07,2019-01-07 9:03,2019-02-08 15:16,Approval,Express Transactions,,54.00286,128.69531,,Routine,Simple,0,0,0.1,0,0.2,,0,
Authorization Amendment,378556,105923,Approved,,2018-12-17,2019-01-07 10:19,2019-07-03 9:23,Permit,Authorizations - North Region,Minor,54.308312,130.261803,,Routine,Medium,21,0.1,0,0.1,175.7,,197,
Authorization Amendment,378558,2753,Approved,,2018-12-19,2019-01-07 14:40,2020-02-05 13:56,Permit,Authorizations - South Region,Minor,49.0994,117.7114,,Routine,Medium,19,210.7,114.2,11.1,56.8,,412,
New Registration,378579,109788,Completed,,2019-01-08,2019-01-08 11:52,2019-01-08 12:05,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,55.782401,120.550644,,Express,Simple,0,0,,,0,,0,
De-Registration,378580,107104,Completed,,2019-01-08 13:00,2019-01-08 13:00,2019-06-12 8:00,Municipal Wastewater Regulation,Mining Team,,,,,Express,Medium,0,,,,,148.1,147.5,
Authorization Amendment,378583,103668,Approved,,2019-01-08,2019-01-08 14:24,2019-01-14 10:48,Permit,Express Transactions,Minor,55.714,120.853,,Routine,Simple,0,0,0,0,5.8,,6,
Authorization Amendment,378616,18359,Approved,,2019-01-10,2019-01-10 13:02,2019-04-25 14:41,Permit,Oil & Gas Commission,Minor,55.89,120.09,,Routine,Medium,0,0,0,0,105,,105,
Registration Amendment,378638,107849,In Review,Review and Decision,2019-01-11,2019-01-11 10:53,,Municipal Wastewater Regulation,Authorizations - North Region,Minor,56.7373,122.043,Internal Amendment,EM General,Medium,,,,,,,843.6,
New Registration,378685,109792,Completed,,2019-01-09,2019-01-14 14:03,2019-01-22 8:25,Organic Matter Recycling Regulation,Authorizations - South Region,,49.1815,122.1645,,Express,Medium,7,2.1,,,5.7,,12,
Authorization Amendment,378697,3048,Approved,,2018-12-21,2019-01-15 9:18,2019-03-11 9:35,Permit,Express Transactions,Minor,49.905,119.489,Transfer,EM General,Simple,,,,,,,76,
Authorization Amendment,378698,3682,Approved,,2018-12-21,2019-01-15 10:52,2019-03-11 8:53,Permit,Express Transactions,Minor,49.897878,119.492761,Transfer,EM General,Simple,,,,,,,76,
Authorization Amendment,378710,3046,Approved,,2018-12-21,2019-01-15 12:52,2019-03-12 9:11,Permit,Express Transactions,Minor,49.905,119.489,Transfer,EM General,Simple,,,,,,,76,
Authorization Amendment,378714,3683,Approved,,2018-12-21,2019-01-15 13:51,2019-03-12 9:25,Permit,Express Transactions,Minor,49.901,119.4043,Transfer,EM General,Simple,,,,,,,76,
Authorization Amendment,378719,6100,Approved,,2018-12-21,2019-01-15 15:05,2019-04-30 16:36,Permit,Express Transactions,Minor,49.5876,119.6811,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378722,6137,Approved,,2018-12-21,2019-01-15 15:36,2019-04-30 16:43,Permit,Express Transactions,Minor,49.5876,119.6811,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378734,4517,Approved,,2018-12-21,2019-01-16 8:32,2019-04-30 16:14,Permit,Express Transactions,Minor,50.683753,120.321396,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378736,3708,Approved,,2018-12-21,2019-01-16 9:27,2019-04-30 16:49,Permit,Express Transactions,Minor,49.4779,119.58,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378737,1812,Approved,,2018-12-18,2019-01-16 10:29,2019-07-29 11:39,Permit,Authorizations - North Region,Minor,54.3233,130.3072,Internal Amendment,EM General,Medium,,,,,,,217,
Authorization Amendment,378739,1983,Approved,,2018-12-21,2019-01-16 12:40,2019-04-30 16:19,Permit,Express Transactions,Minor,50.2687,119.2681,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378741,3680,Approved,,2018-12-21,2019-01-16 13:22,2019-04-30 16:32,Permit,Express Transactions,Minor,50.2687,119.2681,Transfer,EM General,Simple,,,,,,,125,
Authorization Amendment,378757,2498,Approved,,2018-12-18,2019-01-17 8:26,2020-01-20 8:59,Permit,Authorizations - South Region,Minor,54.2901,130.3559,Internal Amendment,EM General,Medium,,,,,,,392,
Authorization Amendment,378759,521,Approved,,2019-01-17,2019-01-17 10:13,2019-06-07 10:07,Permit,Mining Team,Minor,52.5055555,122.2994444,Internal Amendment,EM General,Medium,,,,,,,140,
Authorization Amendment,378761,7912,Approved,,2019-01-17,2019-01-17 13:48,2019-04-10 13:37,Permit,Authorizations - North Region,Minor,55.712718,124.515111,Internal Amendment,EM General,Medium,,,,,,,77,
Auth Cancel Susp and Aband App,378777,4549,In Review,,2019-01-18 9:25,2019-01-18 9:25,,Permit,Authorizations - South Region,,,,Cancel,EM General,Medium,,,,,,,836.2,
New Registration,378781,109798,Completed,,2019-01-18,2019-01-18 13:34,2019-01-18 14:20,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,56.562349,121.658427,,Express,Simple,0,0,,,0,,0,
New Registration,378782,109799,Completed,,2018-12-21,2019-01-18 13:44,2019-02-12 12:08,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,48.84726,123.49938,,Express,Simple,28.6,,,,,24.9,53,
New Authorization,378812,109801,Approved,,2019-01-21,2019-01-21 9:00,2019-04-25 13:52,Permit,Oil & Gas Commission,,56.7979,122.121875,,Routine,Medium,0,0,0,0,94,,94,
Authorization Amendment,378815,1214,Approved,,2019-01-21,2019-01-21 12:09,2019-02-04 14:09,Permit,Authorizations - South Region,Minor,49.137983,123.858191,Internal Amendment,EM General,Medium,,,,,,,11,
Authorization Amendment,378828,3080,Pending Final Application,Applicant Work Window,2018-12-28,2019-01-22 12:56,,Permit,Authorizations - South Region,Minor,49.335663,117.727904,,Routine,Medium,25,134.1,697.9,,,,857.6,
Authorization Amendment,378829,323,Approved,,2018-12-20,2019-01-22 14:44,2019-06-20 11:02,Permit,Express Transactions,Minor,49.149722,123.699444,Transfer,EM General,Simple,,,,,,,77,
Registration Amendment,378845,109798,Completed,,2019-01-23,2019-01-23 8:46,2019-01-23 8:50,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.562349,121.658427,,Express,Simple,0,0,,,0,,0,
New Registration,378856,109802,Completed,,2019-01-17,2019-01-23 13:40,2019-02-07 8:26,Organic Matter Recycling Regulation,Authorizations - South Region,,49.2019,124.1022,,Express,Medium,18,11.8,,,3,,20,
Authorization Amendment,378857,114,Approved,,2019-01-14,2019-01-23 17:23,2019-02-15 8:13,Permit,Authorizations - South Region,Minor,48.87,123.66,Internal Amendment,EM General,Medium,,,,,,,31,
Authorization Amendment,378858,266,Approved,,2019-01-16,2019-01-23 17:28,2019-03-12 8:34,Permit,Authorizations - South Region,Minor,49.2478,124.811,Internal Amendment,EM General,Medium,,,,,,,49,
Auth Cancel Susp and Aband App,378870,12869,Approved,,2019-01-24 8:06,2019-01-24 8:06,2019-04-18,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,83.7,
New Registration,378876,109804,Pending Final Application,Applicant Work Window,2019-01-03,2019-01-24 15:26,,Municipal Wastewater Regulation,Authorizations - South Region,,48.5549,124.3948,,Routine,Medium,21.6,75.8,754.2,,,,851.6,
New Registration,379050,109806,Completed,,2019-01-05,2019-01-28 8:40,2019-02-13 8:35,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,58.82389,122.7969,,Express,Simple,23.4,,,,,15.3,38,
New Authorization,379054,109807,Approved,,2019-01-04,2019-01-28 9:32,2019-04-01 8:04,Approval,Authorizations - South Region,,49.1472,121.9597,,Routine,Medium,24,8.3,23.8,0,20.1,,76,
Authorization Amendment,379056,103961,Approved,,2019-01-28,2019-01-28 13:10,2019-05-15 14:11,Permit,Mining Team,Minor,55.575,122.32,Internal Amendment,EM General,Medium,,,,,,,102,
Authorization Amendment,379059,4339,Pending Final Application,Applicant Work Window,2018-12-21,2019-01-28 15:05,,Operational Certificate,Authorizations - South Region,Minor,49.1897,122.6659,,Routine,Complex,38,480,346,,,,864.6,
De-Registration,379076,7894,Completed,,2019-01-29 10:11,2019-01-29 10:11,2019-02-12 11:27,Hazardous Waste Regulation,Mining Team,,,,,Express,Complex,0,,,,,13,12.6,
New Registration,379077,109808,Completed,,2019-01-28,2019-01-29 10:36,2019-02-07 8:29,Organic Matter Recycling Regulation,Authorizations - South Region,,50.8258,119.5779,,Express,Medium,7,5.9,,,3,,9,
Auth Cancel Susp and Aband App,379078,8887,Approved,,2019-01-29 10:57,2019-01-29 10:57,2019-01-30,Permit,Authorizations - South Region,,,,Cancel,EM General,Medium,,,,,,,0.5,
Authorization Amendment,379083,7927,Approved,,2019-01-29,2019-01-29 13:32,2019-04-18 12:08,Permit,Mining Team,Minor,56.629,131.075,Internal Amendment,EM General,Medium,,,,,,,78,
Auth Cancel Susp and Aband App,379239,1899,Approved,,2019-01-30 11:05,2019-01-30 11:05,2019-04-18,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,77.5,
Authorization Amendment,379399,100138,Approved,,2019-01-02,2019-01-31 10:27,2019-06-21 14:26,Permit,Authorizations - North Region,Minor,54.01557,128.69911,,Routine,Medium,29,71.3,32.9,25.8,7.9,,167,
Registration Amendment,379442,108767,Completed,,2019-02-01,2019-02-01 9:44,2019-02-01 9:56,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.29265,121.76562,,Express,Simple,0,0,,,0,,0,
De-Registration,379443,109484,Completed,,2019-02-01 9:58,2019-02-01 9:58,2019-05-02 8:37,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,,,,Express,Simple,0,,,,,0,89.9,
De-Registration,379446,13665,Completed,,2019-02-01 13:05,2019-02-01 13:05,2019-02-26 8:23,Land-Based Finfish Waste Control Regulation,Express Transactions,,,,,Express,Simple,0,,,,,23.9,24.8,
De-Registration,379449,109533,Completed,,2019-02-01 15:22,2019-02-01 15:22,2019-03-06 16:07,Code of Practice for Concrete and Concrete Products,Express Transactions,,,,,Express,Simple,0,,,,,20.9,33,
Authorization Amendment,379473,2434,Approved,,2019-01-18,2019-02-04 9:16,2019-03-29 16:25,Permit,Authorizations - South Region,Major,49.5001,123.742476,,Routine,Medium,17,17.2,10.8,1.1,22.1,,68,
Authorization Amendment,379496,3283,Approved,,2019-02-05,2019-02-05 9:14,2019-02-14 9:34,Permit,Authorizations - North Region,Minor,52.118368,122.136712,Internal Amendment,EM General,Medium,,,,,,,8,
Authorization Amendment,379522,107277,Approved,,2019-01-15,2019-02-06 10:50,2019-12-23 10:29,Permit,Mining Team,Minor,59.928,130.339,,Routine,Medium,22,56,107.1,4.8,142.3,,332,
Registration Amendment,379528,1535,Completed,,2019-01-22,2019-02-06 15:13,2019-10-15 14:46,Municipal Wastewater Regulation,Authorizations - South Region,Major,50.8831,119.9198,,Routine,Medium,15.6,175.8,61.2,0,1.9,,254,
New Registration,379544,109813,Completed,,2019-02-06,2019-02-07 10:41,2019-02-20 9:04,Code of Practice for Soil Amendments,Express Transactions,,49.06,117.5995,,Express,Simple,1.5,,,,,12.2,13,
New Registration,379560,109814,Completed,,2006-07-21,2019-02-08 8:18,2019-03-07 10:41,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,,54.6752,120.3807,,Express,Medium,4585,0,,,0,,4585,
De-Registration,379564,109620,Completed,,2019-02-08 10:30,2019-02-08 10:30,2019-02-08 10:32,Oil & Gas Waste Regulation (Well Test),Express Transactions,,,,,Express,Simple,0,,,,,0,0,
Authorization Amendment,379565,11246,Approved,,2019-02-08,2019-02-08 10:30,2019-04-05 15:56,Permit,Authorizations - North Region,Minor,56.15,120.5,Internal Amendment,EM General,Medium,,,,,,,55,
Authorization Amendment,379573,12398,Approved,,2019-02-08,2019-02-08 15:57,2020-06-01 9:16,Permit,Authorizations - South Region,Minor,49.017,122.4547,Internal Amendment,EM General,Medium,,,,,,,475,
Authorization Amendment,379612,107517,Pending Final Application,Applicant Work Window,2019-01-11,2019-02-11 10:16,,Permit,Mining Team,Minor,50.1083827,114.8745565,,Routine,Complex,31,0.2,812,,,,843.6,
Authorization Amendment,379636,8401,Approved,,2019-01-25,2019-02-11 13:01,2019-04-29 15:38,Permit,Authorizations - South Region,Minor,50.560079,126.91527,Transfer,EM General,Simple,,,,,,,89,
Auth Cancel Susp and Aband App,379638,2547,Approved,,2019-02-11 13:12,2019-02-11 13:12,2019-02-11,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,0,
Authorization Amendment,379652,3991,Approved,,2019-02-11,2019-02-11 14:29,2020-02-10 16:24,Operational Certificate,Authorizations - South Region,Minor,50.802,119.395,Internal Amendment,EM General,Medium,,,,,,,364,
Authorization Amendment,379700,190,Approved,,2019-02-12,2019-02-12 8:55,2019-06-10 14:13,Permit,Authorizations - North Region,Minor,53.9325,122.4128,Internal Amendment,EM General,Medium,,,,,,,115,
